#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Tadh-TriadG814	10228.TriadP814	4.85e-258	706.0	KOG0660@1|root,KOG0660@2759|Eukaryota,38BZX@33154|Opisthokonta,3BG9C@33208|Metazoa	33208|Metazoa	T	negative regulation of ERK5 cascade	MAPK7	GO:0000165,GO:0000166,GO:0000302,GO:0000902,GO:0000904,GO:0001932,GO:0001933,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004707,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006469,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0006935,GO:0006950,GO:0006979,GO:0007154,GO:0007162,GO:0007165,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0008144,GO:0008150,GO:0008152,GO:0009605,GO:0009636,GO:0009653,GO:0009719,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010035,GO:0010468,GO:0010470,GO:0010556,GO:0010557,GO:0010563,GO:0010604,GO:0010605,GO:0010628,GO:0010646,GO:0010648,GO:0010941,GO:0016043,GO:0016301,GO:0016310,GO:0016604,GO:0016605,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0018105,GO:0018193,GO:0018209,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0019932,GO:0019933,GO:0019935,GO:0022008,GO:0022407,GO:0022408,GO:0022603,GO:0023014,GO:0023051,GO:0023052,GO:0023057,GO:0030030,GO:0030154,GO:0030155,GO:0030182,GO:0030554,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0031348,GO:0031399,GO:0031400,GO:0031974,GO:0031981,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0032989,GO:0032990,GO:0033554,GO:0033673,GO:0034114,GO:0034115,GO:0034405,GO:0034599,GO:0034614,GO:0034616,GO:0035556,GO:0035639,GO:0035690,GO:0036003,GO:0036094,GO:0036211,GO:0040011,GO:0042221,GO:0042325,GO:0042326,GO:0042330,GO:0042493,GO:0042542,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043086,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043412,GO:0043549,GO:0043618,GO:0043620,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0045765,GO:0045859,GO:0045893,GO:0045935,GO:0045936,GO:0045944,GO:0045995,GO:0046677,GO:0046777,GO:0048468,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050727,GO:0050728,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050848,GO:0050849,GO:0050896,GO:0051019,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051239,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051336,GO:0051338,GO:0051342,GO:0051344,GO:0051346,GO:0051348,GO:0051716,GO:0060255,GO:0060548,GO:0060759,GO:0060761,GO:0061564,GO:0065007,GO:0065009,GO:0070013,GO:0070301,GO:0070375,GO:0070376,GO:0070377,GO:0070587,GO:0070848,GO:0070884,GO:0070885,GO:0070887,GO:0071236,GO:0071310,GO:0071363,GO:0071495,GO:0071498,GO:0071499,GO:0071559,GO:0071560,GO:0071704,GO:0071840,GO:0071900,GO:0071901,GO:0080090,GO:0080134,GO:0080135,GO:0097159,GO:0097237,GO:0097367,GO:0097485,GO:0106056,GO:0106057,GO:0120036,GO:0120039,GO:0140096,GO:1900407,GO:1900408,GO:1901099,GO:1901265,GO:1901342,GO:1901363,GO:1901564,GO:1901700,GO:1901701,GO:1902175,GO:1902176,GO:1902531,GO:1902532,GO:1902680,GO:1902882,GO:1902883,GO:1903201,GO:1903202,GO:1903506,GO:1903508,GO:1904035,GO:1904036,GO:2000026,GO:2000112,GO:2000351,GO:2000352,GO:2001141,GO:2001233,GO:2001234,GO:2001236,GO:2001237,GO:2001239,GO:2001240,GO:2001242,GO:2001243	2.7.11.24	ko:K04464	ko04010,ko04011,ko04138,ko04139,ko04540,ko04657,ko04722,ko04912,ko04921,ko05206,ko05418,map04010,map04011,map04138,map04139,map04540,map04657,map04722,map04912,map04921,map05206,map05418	M00690	-	-	ko00000,ko00001,ko00002,ko01000,ko01001	-	-	-	Pkinase
Tadh-TriadG63473	10228.TriadP63473	0.0	1138.0	KOG3774@1|root,KOG3774@2759|Eukaryota,38SPP@33154|Opisthokonta,3BEP4@33208|Metazoa	33208|Metazoa	T	phospholipase	PLBD2	GO:0000323,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	-	-	-	-	-	-	-	-	-	-	Phospholip_B
Tadh-TriadG51580	10228.TriadP51580	0.0	1090.0	COG4886@1|root,KOG4194@2759|Eukaryota	2759|Eukaryota	KLT	otolith morphogenesis	-	-	-	ko:K04307	ko04080,ko04926,map04080,map04926	-	-	-	ko00000,ko00001,ko04030	-	-	-	LRR_8,Pkinase_Tyr
Tadh-TriadG51581	10228.TriadP51581	4.84e-231	634.0	KOG3512@1|root,KOG3512@2759|Eukaryota,38JQI@33154|Opisthokonta,3BAQP@33208|Metazoa	33208|Metazoa	T	Cdc42 protein signal transduction	NTN1	GO:0000003,GO:0000768,GO:0000902,GO:0000904,GO:0001558,GO:0001654,GO:0001667,GO:0001764,GO:0002009,GO:0003002,GO:0003006,GO:0003674,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005604,GO:0005622,GO:0005623,GO:0005737,GO:0006355,GO:0006810,GO:0006928,GO:0006929,GO:0006930,GO:0006935,GO:0006949,GO:0007097,GO:0007154,GO:0007155,GO:0007165,GO:0007166,GO:0007264,GO:0007265,GO:0007266,GO:0007275,GO:0007389,GO:0007399,GO:0007409,GO:0007411,GO:0007423,GO:0007431,GO:0007432,GO:0007520,GO:0007548,GO:0008037,GO:0008038,GO:0008039,GO:0008045,GO:0008078,GO:0008150,GO:0008284,GO:0008347,GO:0008361,GO:0008406,GO:0009605,GO:0009653,GO:0009790,GO:0009887,GO:0009888,GO:0009889,GO:0009987,GO:0010160,GO:0010468,GO:0010556,GO:0010720,GO:0010721,GO:0010769,GO:0010770,GO:0010771,GO:0010975,GO:0010976,GO:0010977,GO:0014902,GO:0016043,GO:0016200,GO:0016358,GO:0016477,GO:0019219,GO:0019222,GO:0022008,GO:0022414,GO:0022603,GO:0022604,GO:0022607,GO:0022610,GO:0022612,GO:0023052,GO:0030030,GO:0030031,GO:0030154,GO:0030182,GO:0030307,GO:0030308,GO:0030334,GO:0030424,GO:0030426,GO:0030427,GO:0030516,GO:0030517,GO:0030879,GO:0031012,GO:0031175,GO:0031323,GO:0031326,GO:0031344,GO:0031345,GO:0031346,GO:0032101,GO:0032488,GO:0032501,GO:0032502,GO:0032535,GO:0032879,GO:0032989,GO:0032990,GO:0033267,GO:0033563,GO:0033564,GO:0035239,GO:0035262,GO:0035272,GO:0035295,GO:0035556,GO:0036477,GO:0038007,GO:0040008,GO:0040011,GO:0040012,GO:0040017,GO:0042063,GO:0042127,GO:0042221,GO:0042330,GO:0042471,GO:0042472,GO:0042692,GO:0042995,GO:0043005,GO:0043025,GO:0043583,GO:0044085,GO:0044295,GO:0044297,GO:0044421,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0045137,GO:0045138,GO:0045595,GO:0045596,GO:0045597,GO:0045664,GO:0045665,GO:0045666,GO:0045773,GO:0045926,GO:0045927,GO:0046661,GO:0046907,GO:0048468,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048562,GO:0048568,GO:0048583,GO:0048598,GO:0048608,GO:0048638,GO:0048639,GO:0048640,GO:0048645,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048729,GO:0048731,GO:0048732,GO:0048749,GO:0048812,GO:0048813,GO:0048839,GO:0048856,GO:0048858,GO:0048859,GO:0048869,GO:0048870,GO:0050767,GO:0050768,GO:0050769,GO:0050770,GO:0050771,GO:0050772,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0050918,GO:0050920,GO:0051093,GO:0051094,GO:0051128,GO:0051129,GO:0051130,GO:0051146,GO:0051171,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051252,GO:0051270,GO:0051272,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051656,GO:0051674,GO:0051716,GO:0051960,GO:0051961,GO:0051962,GO:0060255,GO:0060284,GO:0060429,GO:0060443,GO:0060562,GO:0060603,GO:0061061,GO:0061180,GO:0061387,GO:0061458,GO:0061564,GO:0062023,GO:0065007,GO:0065008,GO:0070983,GO:0071840,GO:0071944,GO:0080090,GO:0090066,GO:0090596,GO:0090598,GO:0097374,GO:0097376,GO:0097458,GO:0097485,GO:0098609,GO:0120025,GO:0120031,GO:0120035,GO:0120036,GO:0120038,GO:0120039,GO:0150034,GO:1902667,GO:1903506,GO:1905489,GO:1905812,GO:1905815,GO:2000026,GO:2000112,GO:2000145,GO:2000147,GO:2000289,GO:2001141	-	ko:K06843	ko04360,map04360	-	-	-	ko00000,ko00001,ko00536,ko04516	-	-	-	Laminin_EGF,Laminin_N,NTR
Tadh-TriadG49601	10228.TriadP49601	1.63e-162	454.0	COG0560@1|root,KOG1615@2759|Eukaryota,38F2C@33154|Opisthokonta,3BDNF@33208|Metazoa	33208|Metazoa	E	phosphoserine phosphatase	PSPH	GO:0000003,GO:0000287,GO:0000902,GO:0000904,GO:0003674,GO:0003824,GO:0004647,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006563,GO:0006564,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0006935,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0007422,GO:0007610,GO:0007617,GO:0007618,GO:0007619,GO:0008049,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009605,GO:0009612,GO:0009628,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009987,GO:0009991,GO:0010033,GO:0014070,GO:0016043,GO:0016053,GO:0016311,GO:0016545,GO:0016787,GO:0016788,GO:0016791,GO:0019098,GO:0019752,GO:0019953,GO:0022008,GO:0022414,GO:0030030,GO:0030154,GO:0030182,GO:0030534,GO:0031175,GO:0031667,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0033574,GO:0033993,GO:0040011,GO:0042221,GO:0042330,GO:0042493,GO:0042578,GO:0042802,GO:0042803,GO:0042995,GO:0043005,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0045433,GO:0045471,GO:0046394,GO:0046677,GO:0046872,GO:0046983,GO:0048065,GO:0048149,GO:0048468,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050896,GO:0051704,GO:0060179,GO:0061564,GO:0071704,GO:0071840,GO:0097305,GO:0097458,GO:0097485,GO:0120025,GO:0120036,GO:0120039,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901654,GO:1901700	3.1.3.3	ko:K01079	ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230	M00020	R00582	RC00017	ko00000,ko00001,ko00002,ko01000,ko01009	-	-	-	HAD,Hydrolase
Tadh-TriadG6927	10228.TriadP6927	1.45e-93	273.0	2CUJS@1|root,2S4E7@2759|Eukaryota,3A7GX@33154|Opisthokonta,3BT0U@33208|Metazoa	33208|Metazoa	S	Vitamin K epoxide reductase complex, subunit	VKORC1	GO:0001501,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006464,GO:0006766,GO:0006775,GO:0006807,GO:0006950,GO:0007275,GO:0007596,GO:0007599,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009611,GO:0009987,GO:0010033,GO:0010243,GO:0012505,GO:0014070,GO:0016491,GO:0016614,GO:0016900,GO:0017144,GO:0017187,GO:0018193,GO:0018200,GO:0018214,GO:0019538,GO:0030193,GO:0032101,GO:0032501,GO:0032502,GO:0036211,GO:0042060,GO:0042221,GO:0042362,GO:0042371,GO:0042373,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046677,GO:0047057,GO:0047058,GO:0048513,GO:0048518,GO:0048583,GO:0048731,GO:0048856,GO:0050789,GO:0050817,GO:0050818,GO:0050820,GO:0050878,GO:0050896,GO:0051239,GO:0051240,GO:0055114,GO:0060348,GO:0061041,GO:0065007,GO:0065008,GO:0071704,GO:0080134,GO:1900046,GO:1901564,GO:1901698,GO:1903034	1.17.4.4	ko:K05357	ko00130,ko01110,map00130,map01110	-	R03511,R03645,R09992	RC00970,RC01562	ko00000,ko00001,ko01000	-	-	-	VKOR
Tadh-TriadG49602	10228.TriadP49602	6.96e-200	553.0	KOG1534@1|root,KOG1534@2759|Eukaryota,38BEG@33154|Opisthokonta,3BC4S@33208|Metazoa	33208|Metazoa	K	GPN-loop GTPase 3	GPN3	GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005575,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0032991	-	ko:K06883	-	-	-	-	ko00000	-	-	-	ATP_bind_1
Tadh-TriadG20172	10228.TriadP20172	6.54e-277	755.0	COG0665@1|root,KOG3923@2759|Eukaryota,39SQP@33154|Opisthokonta,3BI8C@33208|Metazoa	33208|Metazoa	E	aspartate oxidase activity	-	GO:0003674,GO:0003824,GO:0003884,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008445,GO:0009987,GO:0015922,GO:0016491,GO:0016638,GO:0016641,GO:0019752,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046416,GO:0055114,GO:0071704,GO:1901564,GO:1901605	1.4.3.1,1.4.3.3	ko:K00272,ko:K00273,ko:K16582	ko00250,ko00260,ko00311,ko00330,ko00472,ko01100,ko01130,ko04146,map00250,map00260,map00311,map00330,map00472,map01100,map01130,map04146	-	R00359,R00366,R02457,R02894,R02923,R04221,R07400	RC00006,RC00018,RC00135	ko00000,ko00001,ko01000,ko03036,ko04812	-	-	-	DAO
Tadh-TriadG51586	10228.TriadP51586	0.0	968.0	2C3E9@1|root,2RZCA@2759|Eukaryota,3A2RR@33154|Opisthokonta,3BQSU@33208|Metazoa	10228.TriadP51586|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-TriadG51588	10228.TriadP51586	2.16e-78	247.0	2C3E9@1|root,2RZCA@2759|Eukaryota,3A2RR@33154|Opisthokonta,3BQSU@33208|Metazoa	10228.TriadP51586|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-TriadG51589	10228.TriadP51586	6.23e-62	206.0	2C3E9@1|root,2RZCA@2759|Eukaryota,3A2RR@33154|Opisthokonta,3BQSU@33208|Metazoa	10228.TriadP51586|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-TriadG51590	10228.TriadP51590	0.0	1039.0	COG0415@1|root,KOG0133@2759|Eukaryota,38BKX@33154|Opisthokonta,3B995@33208|Metazoa	33208|Metazoa	LT	negative regulation of glucocorticoid receptor signaling pathway	-	-	4.1.99.3	ko:K01669	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	DNA_photolyase,FAD_binding_7
Tadh-TriadG51591	10228.TriadP51591	0.0	1080.0	COG0415@1|root,KOG0133@2759|Eukaryota,38BKX@33154|Opisthokonta,3B995@33208|Metazoa	33208|Metazoa	LT	negative regulation of glucocorticoid receptor signaling pathway	-	-	4.1.99.3	ko:K01669	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	DNA_photolyase,FAD_binding_7
Tadh-TriadG18352	10228.TriadP18352	0.0	1059.0	COG0415@1|root,KOG0133@2759|Eukaryota,38BKX@33154|Opisthokonta,3B995@33208|Metazoa	33208|Metazoa	LT	negative regulation of glucocorticoid receptor signaling pathway	-	-	4.1.99.3	ko:K01669	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	DNA_photolyase,FAD_binding_7
Tadh-TriadG4509	10228.TriadP4509	8.69e-194	538.0	KOG3656@1|root,KOG3656@2759|Eukaryota,38ERN@33154|Opisthokonta,3BI54@33208|Metazoa	33208|Metazoa	T	Trace amine-associated receptor	TAAR1	GO:0001594,GO:0003674,GO:0004888,GO:0004930,GO:0005575,GO:0005623,GO:0005886,GO:0007154,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007189,GO:0007191,GO:0007212,GO:0008150,GO:0008227,GO:0009966,GO:0009967,GO:0009987,GO:0010646,GO:0010647,GO:0016020,GO:0016021,GO:0019932,GO:0019933,GO:0019935,GO:0023051,GO:0023052,GO:0023056,GO:0031224,GO:0035556,GO:0038023,GO:0043949,GO:0043950,GO:0044425,GO:0044464,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0071944,GO:1902531,GO:1902533	-	ko:K05051	ko04080,map04080	-	-	-	ko00000,ko00001,ko04030	-	-	-	7tm_1
Tadh-TriadG51597	10228.TriadP51597	3.52e-106	306.0	KOG4168@1|root,KOG4168@2759|Eukaryota	2759|Eukaryota	E	transcription initiation from RNA polymerase III promoter	CRCP	GO:0000428,GO:0001635,GO:0001653,GO:0001669,GO:0003674,GO:0003824,GO:0003899,GO:0004888,GO:0004930,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005666,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006351,GO:0006352,GO:0006383,GO:0006384,GO:0006399,GO:0006725,GO:0006807,GO:0007154,GO:0007165,GO:0007186,GO:0007218,GO:0007568,GO:0008150,GO:0008152,GO:0008277,GO:0008528,GO:0009058,GO:0009059,GO:0009304,GO:0009360,GO:0009966,GO:0009967,GO:0009987,GO:0010467,GO:0010646,GO:0010647,GO:0012505,GO:0016020,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0023051,GO:0023052,GO:0023056,GO:0030141,GO:0030424,GO:0030425,GO:0030880,GO:0031410,GO:0031974,GO:0031981,GO:0031982,GO:0032502,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0034660,GO:0036477,GO:0038023,GO:0042575,GO:0042797,GO:0042995,GO:0043005,GO:0043025,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044297,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044463,GO:0044464,GO:0045745,GO:0046483,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055029,GO:0060089,GO:0061695,GO:0065007,GO:0070013,GO:0071704,GO:0071944,GO:0090304,GO:0097223,GO:0097447,GO:0097458,GO:0097642,GO:0097659,GO:0097708,GO:0097747,GO:0098781,GO:0099503,GO:0120025,GO:0120038,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234	-	-	-	-	-	-	-	-	-	-	RNA_pol_Rpb4
Tadh-TriadG51598	10228.TriadP51598	0.0	1293.0	2C19C@1|root,2QPW2@2759|Eukaryota,38RAM@33154|Opisthokonta,3BCQI@33208|Metazoa	33208|Metazoa	S	Coiled-coil domain containing 157	CCDC157	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-TriadG51599	10228.TriadP51599	6.96e-240	660.0	28IJX@1|root,2QQWS@2759|Eukaryota,38DBK@33154|Opisthokonta,3BGI6@33208|Metazoa	33208|Metazoa	S	Coiled-coil domain-containing protein 92	CCDC92	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005813,GO:0005814,GO:0005815,GO:0005856,GO:0015630,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044450,GO:0044464,GO:0070013	-	ko:K16452	-	-	-	-	ko00000,ko03036	-	-	-	CCDC92
Tadh-TriadG19523	10228.TriadP19523	2.25e-196	542.0	COG3555@1|root,KOG3696@2759|Eukaryota,38D15@33154|Opisthokonta,3BHIN@33208|Metazoa	33208|Metazoa	O	dioxygenase activity	ASPHD2	-	-	-	-	-	-	-	-	-	-	-	Asp_Arg_Hydrox
Tadh-TriadG18274	10228.TriadP18274	1.88e-275	752.0	COG5347@1|root,KOG0818@2759|Eukaryota,38CT5@33154|Opisthokonta,3BDSY@33208|Metazoa	33208|Metazoa	T	Arf GTPase-activating protein	GIT2	GO:0000003,GO:0001771,GO:0001775,GO:0002376,GO:0003006,GO:0003674,GO:0005096,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005768,GO:0005829,GO:0005912,GO:0005924,GO:0005925,GO:0006810,GO:0006928,GO:0006950,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0007525,GO:0007548,GO:0007610,GO:0008037,GO:0008047,GO:0008104,GO:0008150,GO:0008277,GO:0008406,GO:0009653,GO:0009719,GO:0009887,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0009988,GO:0010033,GO:0010564,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0012505,GO:0016043,GO:0016319,GO:0016358,GO:0016477,GO:0019222,GO:0019899,GO:0022008,GO:0022414,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030030,GO:0030054,GO:0030055,GO:0030056,GO:0030154,GO:0030182,GO:0030234,GO:0030695,GO:0031175,GO:0031252,GO:0031267,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0031410,GO:0031974,GO:0031981,GO:0031982,GO:0032012,GO:0032013,GO:0032465,GO:0032501,GO:0032502,GO:0032947,GO:0033036,GO:0033555,GO:0035262,GO:0035330,GO:0035332,GO:0035418,GO:0036465,GO:0040008,GO:0040011,GO:0040039,GO:0042221,GO:0042802,GO:0042803,GO:0042995,GO:0043005,GO:0043085,GO:0043087,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043547,GO:0044093,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044456,GO:0044464,GO:0044877,GO:0045137,GO:0045202,GO:0045321,GO:0046578,GO:0046580,GO:0046620,GO:0046649,GO:0046983,GO:0048013,GO:0048265,GO:0048266,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048608,GO:0048638,GO:0048666,GO:0048699,GO:0048731,GO:0048786,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051020,GO:0051056,GO:0051058,GO:0051179,GO:0051234,GO:0051239,GO:0051302,GO:0051336,GO:0051345,GO:0051641,GO:0051649,GO:0051674,GO:0051716,GO:0051726,GO:0060255,GO:0060322,GO:0060589,GO:0060996,GO:0061061,GO:0061458,GO:0065007,GO:0065009,GO:0070013,GO:0070161,GO:0070848,GO:0070849,GO:0070887,GO:0071310,GO:0071363,GO:0071364,GO:0071495,GO:0071840,GO:0097458,GO:0097708,GO:0098772,GO:0098793,GO:0099504,GO:0120025,GO:0120036,GO:1902531,GO:1902532,GO:1902533,GO:1905383,GO:2000644,GO:2000646	-	ko:K05737,ko:K12487	ko04144,ko04810,ko05120,map04144,map04810,map05120	-	-	-	ko00000,ko00001,ko04131	-	-	-	Ank_2,Ank_5,ArfGap,GIT1_C,GIT_CC,GIT_SHD
Tadh-TriadG63474	10228.TriadP63474	3.42e-66	203.0	KOG4090@1|root,KOG4090@2759|Eukaryota,3A5YP@33154|Opisthokonta,3BSMU@33208|Metazoa	33208|Metazoa	S	regulation of cellular response to hypoxia	CHCHD2	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005740,GO:0005758,GO:0006355,GO:0006357,GO:0006996,GO:0007005,GO:0008134,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016043,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043565,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070013,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0097159,GO:1900037,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	CHCH
