gene_ids,uniprot_id,uniprot_genes
XLOC-004327#XLOC-004327,XLOC-004327#XLOC-004327,XLOC-004327#XLOC-004327
XLOC-004333#XLOC-004333,XLOC-004333#XLOC-004333,XLOC-004333#XLOC-004333
XLOC-004856#MPPA-BLAEM#P97997,P97997,XLOC-004856#MPPA-BLAEM#P97997
XLOC-004855#GLYC-BOMMO#Q2F5L3,Q2F5L3,692975
XLOC-004339#XLOC-004339,XLOC-004339#XLOC-004339,XLOC-004339#XLOC-004339
XLOC-004335#XLOC-004335,XLOC-004335#XLOC-004335,XLOC-004335#XLOC-004335
XLOC-004862#GDE1-HUMAN#Q9NZC3,Q9NZC3,GDE1
XLOC-004857#XLOC-004857,XLOC-004857#XLOC-004857,XLOC-004857#XLOC-004857
gene-evm.model.ptg000023l.226#ALPK1-MOUSE#Q9CXB8,Q9CXB8,Alpk1
XLOC-004858#XLOC-004858,XLOC-004858#XLOC-004858,XLOC-004858#XLOC-004858
XLOC-004348#XLOC-004348,XLOC-004348#XLOC-004348,XLOC-004348#XLOC-004348
XLOC-004341#XLOC-004341,XLOC-004341#XLOC-004341,XLOC-004341#XLOC-004341
XLOC-004349#XLOC-004349,XLOC-004349#XLOC-004349,XLOC-004349#XLOC-004349
XLOC-004865#XLOC-004865,XLOC-004865#XLOC-004865,XLOC-004865#XLOC-004865
XLOC-004343#XLOC-004343,XLOC-004343#XLOC-004343,XLOC-004343#XLOC-004343
XLOC-004860#CASP2-MOUSE#P29594,P29594,Casp2
XLOC-004345#DIC-HUMAN#Q9UBX3,Q9UBX3,SLC25A10
XLOC-004355#XLOC-004355,XLOC-004355#XLOC-004355,XLOC-004355#XLOC-004355
XLOC-004350#XLOC-004350,XLOC-004350#XLOC-004350,XLOC-004350#XLOC-004350
gene-evm.model.ptg000023l.219-1,gene-evm.model.ptg000023l.219-1,gene-evm.model.ptg000023l.219-1
XLOC-004868#XLOC-004868,XLOC-004868#XLOC-004868,XLOC-004868#XLOC-004868
XLOC-004360#NECB-HYDVU#P29145,P29145,XLOC-004360#NECB-HYDVU#P29145
XLOC-004872#XLOC-004872,XLOC-004872#XLOC-004872,XLOC-004872#XLOC-004872
gene-evm.model.ptg000023l.201#PLCG1-HUMAN#P19174,P19174,PLCG1
XLOC-004361#XLOC-004361,XLOC-004361#XLOC-004361,XLOC-004361#XLOC-004361
XLOC-004874#PLCG1-HUMAN#P19174,P19174,PLCG1
gene-evm.model.ptg000023l.204-1,gene-evm.model.ptg000023l.204-1,gene-evm.model.ptg000023l.204-1
XLOC-004873#FUCO-BRAFL#C3YWU0,C3YWU0,BRAFLDRAFT_56888
XLOC-004876#TMC5-HUMAN#Q6UXY8,Q6UXY8,TMC5
gene-evm.model.ptg000023l.198#GID4-MOUSE#Q9CPY6,Q9CPY6,Gid4
XLOC-004362#CP131-DANRE#U3JAG9,U3JAG9,cep131
XLOC-004875#LENG9-MOUSE#Q8BTN6,Q8BTN6,Leng9
gene-evm.model.ptg000023l.198-1,gene-evm.model.ptg000023l.198-1,gene-evm.model.ptg000023l.198-1
XLOC-004363#GID4-MOUSE#Q9CPY6,Q9CPY6,Gid4
gene-evm.model.ptg000023l.195#RN157-HUMAN#Q96PX1,Q96PX1,RNF157
XLOC-004364#RN157-HUMAN#Q96PX1,Q96PX1,RNF157
XLOC-004877#KCNQ4-HUMAN#P56696,P56696,KCNQ4
gene-evm.model.ptg000023l.193#NPL4-MOUSE#P60670,P60670,Nploc4
gene-evm.model.ptg000023l.192-1#CF184-MOUSE#Q9CR92,Q9CR92,Cfap184
XLOC-004368#CDPK3-PLAF7#Q9NJU9,Q9NJU9,CDPK3
XLOC-004370#RAB26-RAT#P51156,P51156,Rab26
XLOC-004365#PKD1-MOUSE#O08852,O08852,Pkd1
XLOC-004373#XLOC-004373,XLOC-004373#XLOC-004373,XLOC-004373#XLOC-004373
gene-evm.model.ptg000023l.190#AP3S1-BOVIN#Q2YDH6,Q2YDH6,AP3S1
XLOC-004366#AP3S1-BOVIN#Q2YDH6,Q2YDH6,AP3S1
XLOC-004883#EIF3L-NEMVE#A7SDW5,A7SDW5,v1g169424
XLOC-004881#PARP3-MOUSE#Q3ULW8,Q3ULW8,Parp3
XLOC-004378#XLOC-004378,XLOC-004378#XLOC-004378,XLOC-004378#XLOC-004378
XLOC-004371#FOXK2-XENLA#Q7ZX03,Q7ZX03,foxk2
XLOC-004376#CK068-DANRE#Q6NWH0,Q6NWH0,P5436
XLOC-004381#CAC1H-HUMAN#O95180,O95180,CACNA1H
XLOC-004379#RDH8-BOVIN#Q9N126,Q9N126,RDH8
XLOC-004392#XLOC-004392,XLOC-004392#XLOC-004392,XLOC-004392#XLOC-004392
XLOC-004885#XLOC-004885,XLOC-004885#XLOC-004885,XLOC-004885#XLOC-004885
XLOC-004377#RDH8-BOVIN#Q9N126,Q9N126,RDH8
gene-evm.model.ptg000023l.166#gene-evm.model.ptg000023l.166,gene-evm.model.ptg000023l.166#gene-evm.model.ptg000023l.166,gene-evm.model.ptg000023l.166#gene-evm.model.ptg000023l.166
XLOC-004887#SOX9B-XENLA#Q6DFF5,Q6DFF5,sox9-b
XLOC-004386#PSD12-MOUSE#Q9D8W5,Q9D8W5,Psmd12
XLOC-004387#XLOC-004387,XLOC-004387#XLOC-004387,XLOC-004387#XLOC-004387
gene-evm.model.ptg000023l.172,gene-evm.model.ptg000023l.172,gene-evm.model.ptg000023l.172
XLOC-004393#ENDOV-MOUSE#Q8C9A2,Q8C9A2,Endov
XLOC-004384#XLOC-004384,XLOC-004384#XLOC-004384,XLOC-004384#XLOC-004384
gene-evm.model.ptg000023l.152#TENAC-ARATH#F4KFT7,F4KFT7,TH2
XLOC-004391#DNAL4-BOVIN#Q32KN5,Q32KN5,DNAL4
XLOC-004894#AP4AT-RAT#G3V8Y7,G3V8Y7,Tepsin
XLOC-004389#LAT1-RAT#Q63016,Q63016,Slc7a5
gene-evm.model.ptg000023l.160,gene-evm.model.ptg000023l.160,gene-evm.model.ptg000023l.160
XLOC-004396#XLOC-004396,XLOC-004396#XLOC-004396,XLOC-004396#XLOC-004396
gene-evm.model.ptg000023l.155,gene-evm.model.ptg000023l.155,gene-evm.model.ptg000023l.155
XLOC-004406#JTX2B-CHIFL#T1PQV6,T1PQV6,XLOC-004406#JTX2B-CHIFL#T1PQV6
XLOC-004895#DRG2-BOVIN#Q58D56,Q58D56,DRG2
XLOC-004397#YWJB-BACSU#P45862,P45862,ywjB
XLOC-004897#CHIP-CHICK#Q5ZHY5,Q5ZHY5,STUB1
XLOC-004896#XLOC-004896,XLOC-004896#XLOC-004896,XLOC-004896#XLOC-004896
XLOC-004395#XLOC-004395,XLOC-004395#XLOC-004395,XLOC-004395#XLOC-004395
XLOC-004898#OOPDA-ARATH#Q94AM1,Q94AM1,OOP
XLOC-004906#ABCA5-MOUSE#Q8K448,Q8K448,Abca5
gene-evm.model.ptg000023l.143#DUS1L-HUMAN#Q6P1R4,Q6P1R4,DUS1L
gene-evm.model.ptg000023l.136,gene-evm.model.ptg000023l.136,gene-evm.model.ptg000023l.136
XLOC-004899#XLOC-004899,XLOC-004899#XLOC-004899,XLOC-004899#XLOC-004899
XLOC-004900#KBTB3-HUMAN#Q8NAB2,Q8NAB2,KBTBD3
XLOC-004902#XLOC-004902,XLOC-004902#XLOC-004902,XLOC-004902#XLOC-004902
XLOC-004903#XLOC-004903,XLOC-004903#XLOC-004903,XLOC-004903#XLOC-004903
XLOC-004904#XLOC-004904,XLOC-004904#XLOC-004904,XLOC-004904#XLOC-004904
gene-evm.model.ptg000023l.114#ATFC-BOMMO#Q9GPH3,Q9GPH3,ATFC
XLOC-004908#GALK1-HUMAN#P51570,P51570,GALK1
XLOC-004401#COQ7-BOVIN#Q2TBW2,Q2TBW2,COQ7
XLOC-004910#XLOC-004910,XLOC-004910#XLOC-004910,XLOC-004910#XLOC-004910
gene-evm.model.ptg000023l.133#gene-evm.model.ptg000023l.133,gene-evm.model.ptg000023l.133#gene-evm.model.ptg000023l.133,gene-evm.model.ptg000023l.133#gene-evm.model.ptg000023l.133
XLOC-004929#VP35L-MOUSE#Q8BWQ6,Q8BWQ6,Vps35l
XLOC-004913#CCNF-XENTR#Q5XGG5,Q5XGG5,ccnf
XLOC-004407#XLOC-004407,XLOC-004407#XLOC-004407,XLOC-004407#XLOC-004407
XLOC-004920#GTPB1-RAT#D2XV59,D2XV59,Gtpbp1
gene-evm.model.ptg000023l.130#gene-evm.model.ptg000023l.130,gene-evm.model.ptg000023l.130#gene-evm.model.ptg000023l.130,gene-evm.model.ptg000023l.130#gene-evm.model.ptg000023l.130
XLOC-004914#XLOC-004914,XLOC-004914#XLOC-004914,XLOC-004914#XLOC-004914
XLOC-004403#XLOC-004403,XLOC-004403#XLOC-004403,XLOC-004403#XLOC-004403
gene-evm.model.ptg000023l.129#gene-evm.model.ptg000023l.129,gene-evm.model.ptg000023l.129#gene-evm.model.ptg000023l.129,gene-evm.model.ptg000023l.129#gene-evm.model.ptg000023l.129
gene-evm.model.ptg000023l.128#gene-evm.model.ptg000023l.128,gene-evm.model.ptg000023l.128#gene-evm.model.ptg000023l.128,gene-evm.model.ptg000023l.128#gene-evm.model.ptg000023l.128
XLOC-004399#XLOC-004399,XLOC-004399#XLOC-004399,XLOC-004399#XLOC-004399
XLOC-004917#XLOC-004917,XLOC-004917#XLOC-004917,XLOC-004917#XLOC-004917
XLOC-004919#XLOC-004919,XLOC-004919#XLOC-004919,XLOC-004919#XLOC-004919
gene-evm.model.ptg000023l.119#IFT27-BOVIN#Q0VCN3,Q0VCN3,IFT27
gene-evm.model.ptg000023l.120#JOS1-MOUSE#Q9DBJ6,Q9DBJ6,Josd1
XLOC-004924#DRC10-PIG#F1RKB1,F1RKB1,IQCD
XLOC-004925#KCNJ2-BOVIN#O19182,O19182,KCNJ2
XLOC-004408#GRD2I-MOUSE#Q0QWG9,Q0QWG9,Grid2ip
gene-evm.model.ptg000023l.115#FONG-HUMAN#E5RQL4,E5RQL4,FTCDNL1
gene-evm.model.ptg000023l.113,gene-evm.model.ptg000023l.113,gene-evm.model.ptg000023l.113
gene-evm.model.ptg000023l.104#CPSF4-BOVIN#O19137,O19137,CPSF4
XLOC-004937#FOLH1-RAT#P70627,P70627,Folh1
gene-evm.model.ptg000023l.101#gene-evm.model.ptg000023l.101,gene-evm.model.ptg000023l.101#gene-evm.model.ptg000023l.101,gene-evm.model.ptg000023l.101#gene-evm.model.ptg000023l.101
XLOC-004930#XLOC-004930,XLOC-004930#XLOC-004930,XLOC-004930#XLOC-004930
XLOC-004414#XLOC-004414,XLOC-004414#XLOC-004414,XLOC-004414#XLOC-004414
XLOC-004932#DCTN5-MOUSE#Q9QZB9,Q9QZB9,Dctn5
XLOC-004934#HAP28-HUMAN#Q13442,Q13442,PDAP1
XLOC-004935#KITH-CHICK#P04047,P04047,TK1
XLOC-004410#BIR52-XENTR#Q28ER3,Q28ER3,birc5.2
XLOC-004411#XLOC-004411,XLOC-004411#XLOC-004411,XLOC-004411#XLOC-004411
XLOC-004936#SPX3-MOUSE#Q3TIT8,Q3TIT8,Slc37a3
gene-evm.model.ptg000023l.98#SEPT9-HUMAN#Q9UHD8,Q9UHD8,SEPTIN9
XLOC-004942#GABT-MOUSE#P61922,P61922,Abat
XLOC-004939#CBY1-BOVIN#Q8MJK1,Q8MJK1,CBY1
XLOC-004413#DPOD2-XENLA#O93610,O93610,pold2
gene-evm.model.ptg000023l.89-1#gene-evm.model.ptg000023l.89,gene-evm.model.ptg000023l.89-1#gene-evm.model.ptg000023l.89,gene-evm.model.ptg000023l.89-1#gene-evm.model.ptg000023l.89
XLOC-004941#XLOC-004941,XLOC-004941#XLOC-004941,XLOC-004941#XLOC-004941
XLOC-004946#MYH10-BOVIN#Q27991,Q27991,MYH10
XLOC-004943#GABT-PIG#P80147,P80147,ABAT
XLOC-004940#XLOC-004940,XLOC-004940#XLOC-004940,XLOC-004940#XLOC-004940
gene-evm.model.ptg000023l.88#LYRM1-DANRE#Q6DGP7,Q6DGP7,lyrm1
XLOC-004945#MP2K6-DANRE#Q9DGE0,Q9DGE0,map2k6
XLOC-004956#SRP68-CANLF#Q00004,Q00004,SRP68
XLOC-004424#ACT3-PODCA#P41113,P41113,ACT3
gene-evm.model.ptg000023l.91-1,gene-evm.model.ptg000023l.91-1,gene-evm.model.ptg000023l.91-1
XLOC-004952#SNX14-MOUSE#Q8BHY8,Q8BHY8,Snx14
gene-evm.model.ptg000023l.62#SUZ12-XENTR#Q0VA03,Q0VA03,suz12
XLOC-004959#XLOC-004959,XLOC-004959#XLOC-004959,XLOC-004959#XLOC-004959
XLOC-004953#SNX8-HUMAN#Q9Y5X2,Q9Y5X2,SNX8
gene-evm.model.ptg000023l.76#ANO6-HUMAN#Q4KMQ2,Q4KMQ2,ANO6
XLOC-004947#UCPB-DICDI#B0G143,B0G143,ucpB
XLOC-004948#UCPB-DICDI#B0G143,B0G143,ucpB
XLOC-004958#TXD11-MOUSE#Q8K2W3,Q8K2W3,Txndc11
XLOC-004949#TAA8A-RAT#Q923X9,Q923X9,Taar8a
XLOC-004422#RT07-DANRE#Q498Z6,Q498Z6,mrps7
XLOC-004950#XLOC-004950,XLOC-004950#XLOC-004950,XLOC-004950#XLOC-004950
XLOC-004951#S39AB-BOVIN#Q2YDD4,Q2YDD4,SLC39A11
XLOC-004425#CHM6A-XENLA#Q6GMA4,Q6GMA4,chmp6-a
XLOC-004423#CYH3-MOUSE#O08967,O08967,Cyth3
gene-evm.model.ptg000023l.78#SNX14-DANRE#Q5PNP1,Q5PNP1,snx14
XLOC-004418#ANO6-HUMAN#Q4KMQ2,Q4KMQ2,ANO6
XLOC-004427#XLOC-004427,XLOC-004427#XLOC-004427,XLOC-004427#XLOC-004427
XLOC-004419#APN1-CAEEL#Q10002,Q10002,apn-1
XLOC-004954#TM11B-XENLA#Q3B8H3,Q3B8H3,tmem11-b
XLOC-004955#XLOC-004955,XLOC-004955#XLOC-004955,XLOC-004955#XLOC-004955
XLOC-004420#RPP21-MOUSE#Q8R040,Q8R040,Rpp21
XLOC-004421#NUDC3-MOUSE#Q8R1N4,Q8R1N4,Nudcd3
XLOC-004957#ACPM-DROME#Q94519,Q94519,ND-ACP
novel-gene-chr12-13289#5HT2C-MOUSE#P34968,P34968,Htr2c
gene-evm.model.ptg000023l.58#WBP2L-MACFA#Q4R3M1,Q4R3M1,WBP2NL
XLOC-004436#PK1L2-MOUSE#Q7TN88,Q7TN88,Pkd1l2
gene-evm.model.ptg000023l.54#H1D-STRPU#P15870,P15870,gene-evm.model.ptg000023l.54#H1D-STRPU#P15870
XLOC-004434#GNPTG-MOUSE#Q6S5C2,Q6S5C2,Gnptg
novel-gene-chr12-12669#ACTC-BRABE#Q93129,Q93129,novel-gene-chr12-12669#ACTC-BRABE#Q93129
gene-evm.model.ptg000023l.40#WDR13-PONAB#Q5RF24,Q5RF24,WDR13
XLOC-004960#XLOC-004960,XLOC-004960#XLOC-004960,XLOC-004960#XLOC-004960
XLOC-004433#CBX8-MOUSE#Q9QXV1,Q9QXV1,Cbx8
XLOC-004428#GGA1-MOUSE#Q8R0H9,Q8R0H9,Gga1
XLOC-004961#XLOC-004961,XLOC-004961#XLOC-004961,XLOC-004961#XLOC-004961
XLOC-004446#XLOC-004446,XLOC-004446#XLOC-004446,XLOC-004446#XLOC-004446
XLOC-004432#THOC6-DANRE#Q5XJS5,Q5XJS5,thoc6
XLOC-004435#HID1-HUMAN#Q8IV36,Q8IV36,HID1
XLOC-004430#DGKE-HUMAN#P52429,P52429,DGKE
gene-evm.model.ptg000023l.56#PUR8-CHICK#P21265,P21265,ADSL
XLOC-004965#XLOC-004965,XLOC-004965#XLOC-004965,XLOC-004965#XLOC-004965
gene-evm.model.ptg000023l.32#RL10-DROME#O61231,O61231,RpL10
XLOC-004966#XLOC-004966,XLOC-004966#XLOC-004966,XLOC-004966#XLOC-004966
XLOC-004967#XLOC-004967,XLOC-004967#XLOC-004967,XLOC-004967#XLOC-004967
XLOC-004968#PABP3-HUMAN#Q9H361,Q9H361,PABPC3
XLOC-004449#XLOC-004449,XLOC-004449#XLOC-004449,XLOC-004449#XLOC-004449
XLOC-004438#PSD10-RAT#Q9Z2X3,Q9Z2X3,Psmd10
XLOC-004437#UNK-MOUSE#Q8BL48,Q8BL48,Unk
gene-evm.model.ptg000023l.33#gene-evm.model.ptg000023l.33,gene-evm.model.ptg000023l.33#gene-evm.model.ptg000023l.33,gene-evm.model.ptg000023l.33#gene-evm.model.ptg000023l.33
XLOC-004439#UBD2A-XENLA#Q6IP57,Q6IP57,ubald2-a
XLOC-004974#XLOC-004974,XLOC-004974#XLOC-004974,XLOC-004974#XLOC-004974
XLOC-004440#XLOC-004440,XLOC-004440#XLOC-004440,XLOC-004440#XLOC-004440
XLOC-004445#EVG1-MOUSE#Q9D9S1,Q9D9S1,XLOC-004445#EVG1-MOUSE#Q9D9S1
XLOC-004442#XLOC-004442,XLOC-004442#XLOC-004442,XLOC-004442#XLOC-004442
XLOC-004443#ANKF1-HUMAN#Q8N957,Q8N957,ANKFN1
XLOC-004448#XLOC-004448,XLOC-004448#XLOC-004448,XLOC-004448#XLOC-004448
gene-evm.model.ptg000023l.37,gene-evm.model.ptg000023l.37,gene-evm.model.ptg000023l.37
XLOC-004969#DEND3-HUMAN#A2RUS2,A2RUS2,DENND3
XLOC-004970#XLOC-004970,XLOC-004970#XLOC-004970,XLOC-004970#XLOC-004970
XLOC-004975#XLOC-004975,XLOC-004975#XLOC-004975,XLOC-004975#XLOC-004975
XLOC-004457#XLOC-004457,XLOC-004457#XLOC-004457,XLOC-004457#XLOC-004457
XLOC-004980#KDSD-SHIFL#Q83JF4,Q83JF4,kdsD
XLOC-004977#XLOC-004977,XLOC-004977#XLOC-004977,XLOC-004977#XLOC-004977
XLOC-004973#GLO2-CHICK#Q5ZI23,Q5ZI23,HAGH
gene-evm.model.ptg000023l.30-1,gene-evm.model.ptg000023l.30-1,gene-evm.model.ptg000023l.30-1
XLOC-004453#XLOC-004453,XLOC-004453#XLOC-004453,XLOC-004453#XLOC-004453
XLOC-004461#RNPS1-BOVIN#A6QR16,A6QR16,RNPS1
XLOC-004450#XLOC-004450,XLOC-004450#XLOC-004450,XLOC-004450#XLOC-004450
XLOC-004978#XLOC-004978,XLOC-004978#XLOC-004978,XLOC-004978#XLOC-004978
XLOC-004979#XLOC-004979,XLOC-004979#XLOC-004979,XLOC-004979#XLOC-004979
XLOC-004981#XLOC-004981,XLOC-004981#XLOC-004981,XLOC-004981#XLOC-004981
XLOC-004982#ENDOU-XENTR#B1H3D5,B1H3D5,endou
XLOC-004983#DCNL3-XENLA#Q6DFA1,Q6DFA1,dcun1d3
XLOC-004984#XLOC-004984,XLOC-004984#XLOC-004984,XLOC-004984#XLOC-004984
XLOC-004987#CL16A-MOUSE#Q80U30,Q80U30,Clec16a
XLOC-004455#WDR7-HUMAN#Q9Y4E6,Q9Y4E6,WDR7
XLOC-004986#AP4E1-HUMAN#Q9UPM8,Q9UPM8,AP4E1
XLOC-004458#XLOC-004458,XLOC-004458#XLOC-004458,XLOC-004458#XLOC-004458
gene-evm.model.ptg000039l.65#gene-evm.model.ptg000039l.65,gene-evm.model.ptg000039l.65#gene-evm.model.ptg000039l.65,gene-evm.model.ptg000039l.65#gene-evm.model.ptg000039l.65
XLOC-004999#XLOC-004999,XLOC-004999#XLOC-004999,XLOC-004999#XLOC-004999
XLOC-004456#EPN2-MOUSE#Q8CHU3,Q8CHU3,Epn2
XLOC-004466#NAC1-CAVPO#P48766,P48766,SLC8A1
XLOC-004993#XLOC-004993,XLOC-004993#XLOC-004993,XLOC-004993#XLOC-004993
XLOC-004988#SUMF1-HUMAN#Q8NBK3,Q8NBK3,SUMF1
XLOC-004460#XLOC-004460,XLOC-004460#XLOC-004460,XLOC-004460#XLOC-004460
XLOC-004463#RPC8-MOUSE#Q9D2C6,Q9D2C6,Polr3h
XLOC-004994#ERCC1-BOVIN#Q1LZ75,Q1LZ75,ERCC1
XLOC-005000#DTD2-MOUSE#Q8BHA3,Q8BHA3,Dtd2
gene-evm.model.ptg000039l.93#TEX2-HUMAN#Q8IWB9,Q8IWB9,TEX2
XLOC-004465#ATG12-HUMAN#O94817,O94817,ATG12
XLOC-004996#UBP7-HUMAN#Q93009,Q93009,USP7
XLOC-004991#EF2KT-MOUSE#Q3UZW7,Q3UZW7,Eef2kmt
gene-evm.model.ptg000039l.58#ZN207-XENLA#Q7ZXV8,Q7ZXV8,znf207
XLOC-004992#THO4A-XENLA#Q58EA2,Q58EA2,alyref-a
XLOC-005012#GRB2-HUMAN#P62993,P62993,GRB2
XLOC-004464#NCKX4-HUMAN#Q8NFF2,Q8NFF2,SLC24A4
XLOC-004995#XLOC-004995,XLOC-004995#XLOC-004995,XLOC-004995#XLOC-004995
XLOC-004997#TMF1-HUMAN#P82094,P82094,TMF1
XLOC-005007#XLOC-005007,XLOC-005007#XLOC-005007,XLOC-005007#XLOC-005007
XLOC-004472#PITC1-DROME#Q9U9P7,Q9U9P7,rdgBbeta
XLOC-004474#XLOC-004474,XLOC-004474#XLOC-004474,XLOC-004474#XLOC-004474
XLOC-005020#PDIA1-RABIT#P21195,P21195,P4HB
XLOC-005001#XLOC-005001,XLOC-005001#XLOC-005001,XLOC-005001#XLOC-005001
gene-evm.model.ptg000039l.57#PDXD1-BOVIN#A7MBC2,A7MBC2,PDXDC1
XLOC-004477#PDXD1-BOVIN#A7MBC2,A7MBC2,PDXDC1
XLOC-004473#SPHK2-MOUSE#Q9JIA7,Q9JIA7,Sphk2
XLOC-004483#TBC16-HUMAN#Q8TBP0,Q8TBP0,TBC1D16
gene-evm.model.ptg000039l.19#gene-evm.model.ptg000039l.19,gene-evm.model.ptg000039l.19#gene-evm.model.ptg000039l.19,gene-evm.model.ptg000039l.19#gene-evm.model.ptg000039l.19
gene-evm.model.ptg000039l.48#RPTOR-HUMAN#Q8N122,Q8N122,RPTOR
XLOC-004485#ASZ1-DASNO#Q07E43,Q07E43,ASZ1
gene-evm.model.ptg000039l.67-1#gene-evm.model.ptg000039l.67,gene-evm.model.ptg000039l.67-1#gene-evm.model.ptg000039l.67,gene-evm.model.ptg000039l.67-1#gene-evm.model.ptg000039l.67
XLOC-005002#XLOC-005002,XLOC-005002#XLOC-005002,XLOC-005002#XLOC-005002
XLOC-005003#XLOC-005003,XLOC-005003#XLOC-005003,XLOC-005003#XLOC-005003
XLOC-005004#S47A1-HUMAN#Q96FL8,Q96FL8,SLC47A1
XLOC-004478#XLOC-004478,XLOC-004478#XLOC-004478,XLOC-004478#XLOC-004478
XLOC-005016#KCTD5-HUMAN#Q9NXV2,Q9NXV2,KCTD5
XLOC-005011#LMF1-BOVIN#Q0P5C0,Q0P5C0,LMF1
XLOC-005008#PLD6-XENLA#A1L1C2,A1L1C2,pld6
XLOC-004487#XLOC-004487,XLOC-004487#XLOC-004487,XLOC-004487#XLOC-004487
XLOC-004482#RPTOR-HUMAN#Q8N122,Q8N122,RPTOR
XLOC-005009#XLOC-005009,XLOC-005009#XLOC-005009,XLOC-005009#XLOC-005009
XLOC-005014#GRB2-HUMAN#P62993,P62993,GRB2
XLOC-004488#YWRD-BACSU#O05218,O05218,ywrD
XLOC-004475#CRYM-MOUSE#O54983,O54983,Crym
gene-evm.model.ptg000039l.55#FCHO2-HUMAN#Q0JRZ9,Q0JRZ9,FCHO2
XLOC-004479#FCHO2-HUMAN#Q0JRZ9,Q0JRZ9,FCHO2
XLOC-004480#KCNJ9-HUMAN#Q92806,Q92806,KCNJ9
XLOC-004481#XLOC-004481,XLOC-004481#XLOC-004481,XLOC-004481#XLOC-004481
XLOC-005013#GRB2-HUMAN#P62993,P62993,GRB2
gene-evm.model.ptg000039l.36-1#MYH2-MOUSE#G3UW82,G3UW82,Myh2
XLOC-005028#UBE2S-NEMVE#A7SE05,A7SE05,v1g237158
XLOC-004486#CDR2-HUMAN#Q01850,Q01850,CDR2
XLOC-005015#XLOC-005015,XLOC-005015#XLOC-005015,XLOC-005015#XLOC-005015
XLOC-005019#CLCN7-MOUSE#O70496,O70496,Clcn7
XLOC-005024#WBP11-HUMAN#Q9Y2W2,Q9Y2W2,WBP11
XLOC-005017#XLOC-005017,XLOC-005017#XLOC-005017,XLOC-005017#XLOC-005017
XLOC-005018#RGS9-TAMST#Q80ZD1,Q80ZD1,XLOC-005018#RGS9-TAMST#Q80ZD1
XLOC-004491#MILK2-RAT#D3ZEN0,D3ZEN0,Micall2
XLOC-004489#NAA60-BOVIN#Q17QK9,Q17QK9,NAA60
XLOC-005021#RM12-CRICR#P52827,P52827,MRPL12
XLOC-005025#REXO1-YEAST#P53331,P53331,RNH70
XLOC-005027#XYLT1-PANTR#Q5QQ57,Q5QQ57,XYLT1
gene-evm.model.ptg000039l.34,gene-evm.model.ptg000039l.34,gene-evm.model.ptg000039l.34
XLOC-004505#ARP8-MOUSE#Q8R2S9,Q8R2S9,Actr8
gene-evm.model.ptg000039l.29#AASDB-XENLA#Q7ZYJ9,Q7ZYJ9,aarsd1-b
XLOC-004502#RS15A-BOVIN#Q76I82,Q76I82,RPS15A
XLOC-004492#ACHA2-HUMAN#Q15822,Q15822,CHRNA2
XLOC-004493#EXOC7-DANRE#E7FC72,E7FC72,exoc7
XLOC-005034#RAC1-BOVIN#P62998,P62998,RAC1
XLOC-005029#RPC5-HUMAN#Q9NVU0,Q9NVU0,POLR3E
XLOC-004501#MIRO1-DANRE#Q6NVC5,Q6NVC5,rhot1a
XLOC-004497#ECHM-RAT#P14604,P14604,Echs1
XLOC-004494#SVOPL-MOUSE#Q6PDF3,Q6PDF3,Svopl
XLOC-005030#ICT1-SALSA#B5XAM2,B5XAM2,mrpl58
XLOC-004495#XLOC-004495,XLOC-004495#XLOC-004495,XLOC-004495#XLOC-004495
XLOC-004496#XLOC-004496,XLOC-004496#XLOC-004496,XLOC-004496#XLOC-004496
gene-evm.model.ptg000039l.18-1#NOSIP-XENLA#Q6NUH3,Q6NUH3,nosip
XLOC-005032#XLOC-005032,XLOC-005032#XLOC-005032,XLOC-005032#XLOC-005032
gene-evm.model.ptg000039l.14#gene-evm.model.ptg000039l.14,gene-evm.model.ptg000039l.14#gene-evm.model.ptg000039l.14,gene-evm.model.ptg000039l.14#gene-evm.model.ptg000039l.14
XLOC-004499#DNLI1-XENLA#P51892,P51892,lig1
XLOC-005037#EF2K-HUMAN#O00418,O00418,EEF2K
XLOC-004500#TOB1-HUMAN#P50616,P50616,TOB1
XLOC-004503#MCAF1-DANRE#A0JME2,A0JME2,atf7ip
XLOC-005035#XLOC-005035,XLOC-005035#XLOC-005035,XLOC-005035#XLOC-005035
XLOC-004504#MED7-AEDAE#Q17MI0,Q17MI0,MED7
XLOC-005036#PTHD3-RAT#M0R3Q7,M0R3Q7,Ptchd3
XLOC-004507#TSSK1-BOVIN#Q3SZW1,Q3SZW1,TSSK1B
XLOC-005654#DOP1A-HUMAN#Q5JWR5,Q5JWR5,DOP1A
XLOC-005056#GLT1-SCHPO#Q9C102,Q9C102,glt1
gene-evm.model.ptg000009l.1138#RS4-CHICK#P47836,P47836,RPS4
XLOC-005655#PSP24-XENLA#P79945,P79945,XLOC-005655#PSP24-XENLA#P79945
XLOC-005656#RCAN1-BOVIN#Q3ZBP4,Q3ZBP4,RCAN1
XLOC-005040#XLOC-005040,XLOC-005040#XLOC-005040,XLOC-005040#XLOC-005040
XLOC-005657#CP17A-CHICK#P12394,P12394,CYP17A1
XLOC-005048#M3K4-HUMAN#Q9Y6R4,Q9Y6R4,MAP3K4
XLOC-005658#XLOC-005658,XLOC-005658#XLOC-005658,XLOC-005658#XLOC-005658
